time_step,total_population,resource_concentration,mutation_frequency,cooperation_index,competition_index,genotype_A_density,genotype_A'_density,genotype_A''_density,genotype_A'''_density,genotype_A''''_density,genotype_A'''''_density,genotype_A''''''_density,genotype_A'''''''_density,genotype_A''''''''_density,genotype_A'''''''''_density,genotype_A''''''''''_density,genotype_A'''''''''''_density,genotype_A''''''''''''_density,genotype_A'''''''''''''_density,genotype_A''''''''''''''_density,genotype_A'''''''''''''''_density,genotype_A''''''''''''''''_density,genotype_A'''''''''''''''''_density,genotype_A''''''''''''''''''_density,genotype_A'''''''''''''''''''_density,genotype_A''''''''''''''''''''_density,genotype_A'''''''''''''''''''''_density
0,125,900,2,1.25,2.5,0.936,0.064,,,,,,,,,,,,,,,,,,,,
1,150,775,3,1.5,3.0,0.8866666666666667,0.10666666666666667,0.006666666666666667,,,,,,,,,,,,,,,,,,,
2,174,625,3,1.74,3.48,0.8390804597701149,0.15517241379310345,0.005747126436781609,,,,,,,,,,,,,,,,,,,
3,203,451,3,2.0300000000000002,4.0600000000000005,0.7980295566502463,0.18719211822660098,0.014778325123152709,,,,,,,,,,,,,,,,,,,
4,243,248,3,2.43,4.86,0.7942386831275721,0.18106995884773663,0.024691358024691357,,,,,,,,,,,,,,,,,,,
5,305,5,3,3.0500000000000003,6.1000000000000005,0.760655737704918,0.21311475409836064,0.02622950819672131,,,,,,,,,,,,,,,,,,,
6,306,0,3,3.06,6.12,0.7222222222222222,0.24183006535947713,0.03594771241830065,,,,,,,,,,,,,,,,,,,
7,304,0,3,3.04,6.08,0.6875,0.26644736842105265,0.046052631578947366,,,,,,,,,,,,,,,,,,,
8,302,0,3,3.02,6.04,0.6556291390728477,0.2847682119205298,0.059602649006622516,,,,,,,,,,,,,,,,,,,
9,302,0,4,3.02,6.04,0.6192052980132451,0.3079470198675497,0.06622516556291391,0.006622516556291391,,,,,,,,,,,,,,,,,,
10,302,0,4,3.02,6.04,0.5894039735099338,0.3211920529801324,0.07947019867549669,0.009933774834437087,,,,,,,,,,,,,,,,,,
11,301,0,4,3.0100000000000002,6.0200000000000005,0.5514950166112956,0.33554817275747506,0.09966777408637874,0.013289036544850499,,,,,,,,,,,,,,,,,,
12,301,0,4,3.0100000000000002,6.0200000000000005,0.5016611295681063,0.3654485049833887,0.11627906976744186,0.016611295681063124,,,,,,,,,,,,,,,,,,
13,300,0,4,3.0,6.0,0.46,0.38333333333333336,0.12666666666666668,0.03,,,,,,,,,,,,,,,,,,
14,299,0,5,2.99,5.98,0.4280936454849498,0.39464882943143814,0.13712374581939799,0.03678929765886288,0.0033444816053511705,,,,,,,,,,,,,,,,,
15,298,0,5,2.98,5.96,0.40604026845637586,0.40268456375838924,0.1476510067114094,0.040268456375838924,0.003355704697986577,,,,,,,,,,,,,,,,,
16,298,0,5,2.98,5.96,0.3959731543624161,0.38926174496644295,0.16778523489932887,0.0436241610738255,0.003355704697986577,,,,,,,,,,,,,,,,,
17,297,0,5,2.97,5.94,0.36363636363636365,0.40404040404040403,0.1717171717171717,0.05387205387205387,0.006734006734006734,,,,,,,,,,,,,,,,,
18,297,0,5,2.97,5.94,0.3434343434343434,0.4074074074074074,0.18181818181818182,0.05723905723905724,0.010101010101010102,,,,,,,,,,,,,,,,,
19,296,0,5,2.96,5.92,0.32432432432432434,0.4189189189189189,0.18243243243243243,0.057432432432432436,0.016891891891891893,,,,,,,,,,,,,,,,,
20,295,0,6,2.95,5.9,0.3050847457627119,0.4101694915254237,0.2033898305084746,0.061016949152542375,0.01694915254237288,0.003389830508474576,,,,,,,,,,,,,,,,
21,293,0,6,2.93,5.86,0.2832764505119454,0.4129692832764505,0.21843003412969283,0.06484641638225255,0.013651877133105802,0.006825938566552901,,,,,,,,,,,,,,,,
22,292,0,7,2.92,5.84,0.2636986301369863,0.4178082191780822,0.2226027397260274,0.07534246575342465,0.0136986301369863,0.003424657534246575,0.003424657534246575,,,,,,,,,,,,,,,
23,289,0,7,2.89,5.78,0.2491349480968858,0.4083044982698962,0.2422145328719723,0.0726643598615917,0.020761245674740483,0.0034602076124567475,0.0034602076124567475,,,,,,,,,,,,,,,
24,289,0,7,2.89,5.78,0.2422145328719723,0.39792387543252594,0.2560553633217993,0.07612456747404844,0.020761245674740483,0.0034602076124567475,0.0034602076124567475,,,,,,,,,,,,,,,
25,288,0,7,2.88,5.76,0.23958333333333334,0.3993055555555556,0.2465277777777778,0.08333333333333333,0.024305555555555556,0.003472222222222222,0.003472222222222222,,,,,,,,,,,,,,,
26,285,0,7,2.85,5.7,0.23508771929824562,0.37543859649122807,0.2596491228070175,0.0912280701754386,0.031578947368421054,0.0035087719298245615,0.0035087719298245615,,,,,,,,,,,,,,,
27,285,0,7,2.85,5.7,0.22807017543859648,0.36140350877192984,0.2596491228070175,0.10877192982456141,0.031578947368421054,0.007017543859649123,0.0035087719298245615,,,,,,,,,,,,,,,
28,283,0,7,2.83,5.66,0.21908127208480566,0.3498233215547703,0.26501766784452296,0.10954063604240283,0.038869257950530034,0.014134275618374558,0.0035335689045936395,,,,,,,,,,,,,,,
29,281,0,7,2.81,5.62,0.21352313167259787,0.3238434163701068,0.27402135231316727,0.13523131672597866,0.03558718861209965,0.014234875444839857,0.0035587188612099642,,,,,,,,,,,,,,,
30,281,0,7,2.81,5.62,0.199288256227758,0.3238434163701068,0.2704626334519573,0.14590747330960854,0.03914590747330961,0.017793594306049824,0.0035587188612099642,,,,,,,,,,,,,,,
31,278,0,7,2.7800000000000002,5.5600000000000005,0.18705035971223022,0.3057553956834532,0.27697841726618705,0.15827338129496402,0.046762589928057555,0.02158273381294964,0.0035971223021582736,,,,,,,,,,,,,,,
32,277,0,7,2.77,5.54,0.18050541516245489,0.30685920577617326,0.26353790613718414,0.16606498194945848,0.05415162454873646,0.02527075812274368,0.0036101083032490976,,,,,,,,,,,,,,,
33,277,0,7,2.77,5.54,0.16967509025270758,0.2924187725631769,0.27075812274368233,0.16967509025270758,0.06859205776173286,0.02527075812274368,0.0036101083032490976,,,,,,,,,,,,,,,
34,273,0,7,2.73,5.46,0.16483516483516483,0.2783882783882784,0.28205128205128205,0.17216117216117216,0.0695970695970696,0.029304029304029304,0.003663003663003663,,,,,,,,,,,,,,,
35,271,0,6,2.71,5.42,0.15498154981549817,0.2767527675276753,0.2878228782287823,0.18081180811808117,0.06642066420664207,0.033210332103321034,,,,,,,,,,,,,,,,
36,270,0,7,2.7,5.4,0.15185185185185185,0.25555555555555554,0.29259259259259257,0.18518518518518517,0.07777777777777778,0.02962962962962963,0.007407407407407408,,,,,,,,,,,,,,,
37,270,0,7,2.7,5.4,0.14814814814814814,0.25555555555555554,0.2777777777777778,0.17407407407407408,0.1037037037037037,0.03333333333333333,0.007407407407407408,,,,,,,,,,,,,,,
38,269,0,7,2.69,5.38,0.137546468401487,0.24907063197026022,0.275092936802974,0.1895910780669145,0.10780669144981413,0.02973977695167286,0.011152416356877323,,,,,,,,,,,,,,,
39,267,0,7,2.67,5.34,0.1348314606741573,0.23220973782771537,0.27340823970037453,0.1947565543071161,0.11235955056179775,0.03745318352059925,0.0149812734082397,,,,,,,,,,,,,,,
40,266,0,7,2.66,5.32,0.12781954887218044,0.22932330827067668,0.2669172932330827,0.19172932330827067,0.12781954887218044,0.03759398496240601,0.018796992481203006,,,,,,,,,,,,,,,
41,264,0,7,2.64,5.28,0.125,0.21212121212121213,0.2689393939393939,0.20454545454545456,0.12878787878787878,0.03787878787878788,0.022727272727272728,,,,,,,,,,,,,,,
42,263,0,7,2.63,5.26,0.11406844106463879,0.21673003802281368,0.2737642585551331,0.19771863117870722,0.12927756653992395,0.045627376425855515,0.022813688212927757,,,,,,,,,,,,,,,
43,260,0,7,2.6,5.2,0.10384615384615385,0.21923076923076923,0.25769230769230766,0.2076923076923077,0.1346153846153846,0.05384615384615385,0.023076923076923078,,,,,,,,,,,,,,,
44,260,0,7,2.6,5.2,0.1,0.2153846153846154,0.25384615384615383,0.21153846153846154,0.13846153846153847,0.05384615384615385,0.026923076923076925,,,,,,,,,,,,,,,
45,259,0,8,2.59,5.18,0.09652509652509653,0.20463320463320464,0.24324324324324326,0.21235521235521235,0.15057915057915058,0.05405405405405406,0.03474903474903475,0.003861003861003861,,,,,,,,,,,,,,
46,257,0,8,2.57,5.14,0.0933852140077821,0.19455252918287938,0.23735408560311283,0.22568093385214008,0.14007782101167315,0.07003891050583658,0.03501945525291829,0.0038910505836575876,,,,,,,,,,,,,,
47,256,0,8,2.56,5.12,0.08984375,0.17578125,0.2421875,0.23046875,0.14453125,0.078125,0.03515625,0.00390625,,,,,,,,,,,,,,
48,255,0,8,2.5500000000000003,5.1000000000000005,0.0784313725490196,0.17647058823529413,0.23921568627450981,0.23529411764705882,0.1450980392156863,0.08627450980392157,0.03137254901960784,0.00784313725490196,,,,,,,,,,,,,,
49,254,0,8,2.54,5.08,0.07874015748031496,0.17716535433070865,0.21653543307086615,0.24015748031496062,0.15354330708661418,0.09055118110236221,0.031496062992125984,0.011811023622047244,,,,,,,,,,,,,,
50,254,0,8,2.54,5.08,0.07480314960629922,0.1732283464566929,0.21653543307086615,0.2440944881889764,0.14173228346456693,0.09448818897637795,0.04330708661417323,0.011811023622047244,,,,,,,,,,,,,,
51,253,0,9,2.5300000000000002,5.0600000000000005,0.05928853754940711,0.17786561264822134,0.22134387351778656,0.2450592885375494,0.15019762845849802,0.09090909090909091,0.039525691699604744,0.011857707509881422,0.003952569169960474,,,,,,,,,,,,,
52,250,0,9,2.5,5.0,0.056,0.172,0.216,0.236,0.168,0.088,0.048,0.012,0.004,,,,,,,,,,,,,
53,249,0,9,2.49,4.98,0.05220883534136546,0.1646586345381526,0.22088353413654618,0.23293172690763053,0.17269076305220885,0.08032128514056225,0.060240963855421686,0.012048192771084338,0.004016064257028112,,,,,,,,,,,,,
54,249,0,9,2.49,4.98,0.04819277108433735,0.1566265060240964,0.2248995983935743,0.21686746987951808,0.18473895582329317,0.09236947791164658,0.05622489959839357,0.01606425702811245,0.004016064257028112,,,,,,,,,,,,,
55,249,0,9,2.49,4.98,0.04819277108433735,0.14457831325301204,0.22088353413654618,0.2289156626506024,0.18072289156626506,0.10040160642570281,0.05622489959839357,0.01606425702811245,0.004016064257028112,,,,,,,,,,,,,
56,249,0,9,2.49,4.98,0.04417670682730924,0.14056224899598393,0.20883534136546184,0.23694779116465864,0.18875502008032127,0.08835341365461848,0.0642570281124498,0.020080321285140562,0.008032128514056224,,,,,,,,,,,,,
57,249,0,9,2.49,4.98,0.03614457831325301,0.14457831325301204,0.19678714859437751,0.24899598393574296,0.18072289156626506,0.0963855421686747,0.05622489959839357,0.0321285140562249,0.008032128514056224,,,,,,,,,,,,,
58,249,0,9,2.49,4.98,0.0321285140562249,0.13654618473895583,0.18875502008032127,0.2570281124497992,0.18875502008032127,0.08835341365461848,0.06827309236947791,0.028112449799196786,0.012048192771084338,,,,,,,,,,,,,
59,249,0,9,2.49,4.98,0.0321285140562249,0.13253012048192772,0.1927710843373494,0.24497991967871485,0.18875502008032127,0.0963855421686747,0.06827309236947791,0.028112449799196786,0.01606425702811245,,,,,,,,,,,,,
60,246,0,9,2.46,4.92,0.032520325203252036,0.12601626016260162,0.17886178861788618,0.25609756097560976,0.1951219512195122,0.09349593495934959,0.07723577235772358,0.024390243902439025,0.016260162601626018,,,,,,,,,,,,,
61,246,0,9,2.46,4.92,0.032520325203252036,0.11788617886178862,0.17479674796747968,0.25609756097560976,0.1951219512195122,0.1016260162601626,0.07317073170731707,0.032520325203252036,0.016260162601626018,,,,,,,,,,,,,
62,246,0,9,2.46,4.92,0.028455284552845527,0.11382113821138211,0.17073170731707318,0.25609756097560976,0.1951219512195122,0.10569105691056911,0.08130081300813008,0.032520325203252036,0.016260162601626018,,,,,,,,,,,,,
63,246,0,9,2.46,4.92,0.028455284552845527,0.10975609756097561,0.16666666666666666,0.24796747967479674,0.2032520325203252,0.10975609756097561,0.08536585365853659,0.028455284552845527,0.02032520325203252,,,,,,,,,,,,,
64,245,0,9,2.45,4.9,0.02040816326530612,0.09795918367346938,0.1836734693877551,0.24897959183673468,0.2,0.11428571428571428,0.08571428571428572,0.024489795918367346,0.024489795918367346,,,,,,,,,,,,,
65,243,0,10,2.43,4.86,0.0205761316872428,0.09465020576131687,0.18518518518518517,0.23868312757201646,0.20164609053497942,0.11934156378600823,0.08641975308641975,0.02880658436213992,0.0205761316872428,0.00411522633744856,,,,,,,,,,,,
66,243,0,10,2.43,4.86,0.01646090534979424,0.09876543209876543,0.18106995884773663,0.23868312757201646,0.19753086419753085,0.12757201646090535,0.0823045267489712,0.03292181069958848,0.01646090534979424,0.00823045267489712,,,,,,,,,,,,
67,243,0,10,2.43,4.86,0.01646090534979424,0.09465020576131687,0.17695473251028807,0.2345679012345679,0.20164609053497942,0.13168724279835392,0.08641975308641975,0.03292181069958848,0.01646090534979424,0.00823045267489712,,,,,,,,,,,,
68,242,0,10,2.42,4.84,0.01652892561983471,0.09504132231404959,0.1652892561983471,0.24380165289256198,0.19008264462809918,0.14049586776859505,0.09090909090909091,0.03305785123966942,0.01652892561983471,0.008264462809917356,,,,,,,,,,,,
69,242,0,10,2.42,4.84,0.01652892561983471,0.09504132231404959,0.16115702479338842,0.23140495867768596,0.19421487603305784,0.1446280991735537,0.09504132231404959,0.03305785123966942,0.01652892561983471,0.012396694214876033,,,,,,,,,,,,
70,242,0,10,2.42,4.84,0.01652892561983471,0.08677685950413223,0.16942148760330578,0.19834710743801653,0.2231404958677686,0.13636363636363635,0.10330578512396695,0.03305785123966942,0.02066115702479339,0.012396694214876033,,,,,,,,,,,,
71,240,0,10,2.4,4.8,0.0125,0.08333333333333333,0.17083333333333334,0.2,0.21666666666666667,0.13333333333333333,0.1125,0.03333333333333333,0.025,0.0125,,,,,,,,,,,,
72,238,0,10,2.38,4.76,0.008403361344537815,0.07563025210084033,0.1638655462184874,0.21428571428571427,0.2184873949579832,0.13025210084033614,0.1134453781512605,0.04201680672268908,0.01680672268907563,0.01680672268907563,,,,,,,,,,,,
73,238,0,10,2.38,4.76,0.008403361344537815,0.06302521008403361,0.16806722689075632,0.20168067226890757,0.23949579831932774,0.12605042016806722,0.1092436974789916,0.05042016806722689,0.01680672268907563,0.01680672268907563,,,,,,,,,,,,
74,236,0,10,2.36,4.72,0.00847457627118644,0.0635593220338983,0.1483050847457627,0.21610169491525424,0.23728813559322035,0.13559322033898305,0.09745762711864407,0.059322033898305086,0.01694915254237288,0.01694915254237288,,,,,,,,,,,,
75,234,0,11,2.34,4.68,0.008547008547008548,0.05982905982905983,0.14957264957264957,0.21794871794871795,0.2264957264957265,0.13247863247863248,0.10256410256410256,0.06837606837606838,0.017094017094017096,0.01282051282051282,0.004273504273504274,,,,,,,,,,,
76,231,0,11,2.31,4.62,0.004329004329004329,0.05627705627705628,0.1471861471861472,0.22077922077922077,0.21645021645021645,0.15151515151515152,0.09523809523809523,0.0735930735930736,0.017316017316017316,0.008658008658008658,0.008658008658008658,,,,,,,,,,,
77,231,0,11,2.31,4.62,0.004329004329004329,0.05194805194805195,0.1471861471861472,0.21645021645021645,0.20346320346320346,0.16017316017316016,0.10822510822510822,0.06060606060606061,0.025974025974025976,0.012987012987012988,0.008658008658008658,,,,,,,,,,,
78,231,0,11,2.31,4.62,0.004329004329004329,0.05194805194805195,0.13852813852813853,0.21645021645021645,0.20346320346320346,0.16017316017316016,0.11255411255411256,0.06493506493506493,0.025974025974025976,0.012987012987012988,0.008658008658008658,,,,,,,,,,,
79,231,0,11,2.31,4.62,0.004329004329004329,0.05194805194805195,0.13852813852813853,0.20346320346320346,0.2077922077922078,0.16017316017316016,0.10822510822510822,0.0735930735930736,0.030303030303030304,0.012987012987012988,0.008658008658008658,,,,,,,,,,,
80,231,0,12,2.31,4.62,0.004329004329004329,0.047619047619047616,0.14285714285714285,0.19913419913419914,0.19480519480519481,0.17316017316017315,0.1038961038961039,0.07792207792207792,0.03463203463203463,0.012987012987012988,0.004329004329004329,0.004329004329004329,,,,,,,,,,
81,229,0,12,2.29,4.58,0.004366812227074236,0.043668122270742356,0.13973799126637554,0.20087336244541484,0.19213973799126638,0.1703056768558952,0.11353711790393013,0.07423580786026202,0.034934497816593885,0.017467248908296942,0.004366812227074236,0.004366812227074236,,,,,,,,,,
82,228,0,11,2.2800000000000002,4.5600000000000005,,0.043859649122807015,0.13596491228070176,0.18421052631578946,0.20175438596491227,0.17982456140350878,0.11403508771929824,0.07456140350877193,0.039473684210526314,0.017543859649122806,0.0043859649122807015,0.0043859649122807015,,,,,,,,,,
83,227,0,11,2.27,4.54,,0.039647577092511016,0.1277533039647577,0.18502202643171806,0.21145374449339208,0.1762114537444934,0.11013215859030837,0.08370044052863436,0.03524229074889868,0.01762114537444934,0.00881057268722467,0.004405286343612335,,,,,,,,,,
84,227,0,11,2.27,4.54,,0.039647577092511016,0.12334801762114538,0.1762114537444934,0.22466960352422907,0.16740088105726872,0.11013215859030837,0.0881057268722467,0.039647577092511016,0.01762114537444934,0.00881057268722467,0.004405286343612335,,,,,,,,,,
85,226,0,11,2.2600000000000002,4.5200000000000005,,0.03982300884955752,0.11504424778761062,0.17256637168141592,0.22566371681415928,0.17256637168141592,0.11061946902654868,0.08849557522123894,0.03982300884955752,0.022123893805309734,0.008849557522123894,0.004424778761061947,,,,,,,,,,
86,226,0,11,2.2600000000000002,4.5200000000000005,,0.03982300884955752,0.10619469026548672,0.17699115044247787,0.23008849557522124,0.1592920353982301,0.12389380530973451,0.08849557522123894,0.03982300884955752,0.022123893805309734,0.008849557522123894,0.004424778761061947,,,,,,,,,,
87,226,0,11,2.2600000000000002,4.5200000000000005,,0.035398230088495575,0.11061946902654868,0.168141592920354,0.22123893805309736,0.168141592920354,0.12831858407079647,0.084070796460177,0.048672566371681415,0.017699115044247787,0.01327433628318584,0.004424778761061947,,,,,,,,,,
88,225,0,11,2.25,4.5,,0.035555555555555556,0.10666666666666667,0.16444444444444445,0.20444444444444446,0.18222222222222223,0.13333333333333333,0.08444444444444445,0.05333333333333334,0.017777777777777778,0.013333333333333334,0.0044444444444444444,,,,,,,,,,
89,224,0,11,2.24,4.48,,0.03571428571428571,0.10714285714285714,0.16517857142857142,0.1875,0.19196428571428573,0.13839285714285715,0.07589285714285714,0.05803571428571429,0.022321428571428572,0.013392857142857142,0.004464285714285714,,,,,,,,,,
90,223,0,11,2.23,4.46,,0.026905829596412557,0.11210762331838565,0.16143497757847533,0.18834080717488788,0.18834080717488788,0.14349775784753363,0.08071748878923767,0.05829596412556054,0.02242152466367713,0.013452914798206279,0.004484304932735426,,,,,,,,,,
91,223,0,11,2.23,4.46,,0.02242152466367713,0.11659192825112108,0.15246636771300448,0.17937219730941703,0.19730941704035873,0.14798206278026907,0.08520179372197309,0.05829596412556054,0.02242152466367713,0.013452914798206279,,0.004484304932735426,,,,,,,,,
92,223,0,11,2.23,4.46,,0.02242152466367713,0.10762331838565023,0.15695067264573992,0.17937219730941703,0.19730941704035873,0.14798206278026907,0.08968609865470852,0.053811659192825115,0.026905829596412557,0.013452914798206279,,0.004484304932735426,,,,,,,,,
93,222,0,11,2.22,4.44,,0.018018018018018018,0.11261261261261261,0.13963963963963963,0.18468468468468469,0.20270270270270271,0.13513513513513514,0.0945945945945946,0.06306306306306306,0.03153153153153153,0.013513513513513514,,0.0045045045045045045,,,,,,,,,
94,222,0,12,2.22,4.44,,0.018018018018018018,0.11261261261261261,0.13513513513513514,0.18468468468468469,0.1981981981981982,0.13963963963963963,0.0945945945945946,0.06756756756756757,0.02702702702702703,0.013513513513513514,0.0045045045045045045,0.0045045045045045045,,,,,,,,,
95,220,0,12,2.2,4.4,,0.01818181818181818,0.10909090909090909,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.15454545454545454,0.09545454545454546,0.06818181818181818,0.031818181818181815,0.013636363636363636,0.004545454545454545,0.004545454545454545,,,,,,,,,
96,219,0,12,2.19,4.38,,0.0182648401826484,0.1095890410958904,0.1278538812785388,0.1780821917808219,0.1735159817351598,0.1689497716894977,0.0867579908675799,0.0776255707762557,0.0319634703196347,0.0182648401826484,0.0045662100456621,,0.0045662100456621,,,,,,,,
97,218,0,12,2.18,4.36,,0.01834862385321101,0.11009174311926606,0.12385321100917432,0.16055045871559634,0.1926605504587156,0.16055045871559634,0.10091743119266056,0.06422018348623854,0.04128440366972477,0.01834862385321101,0.0045871559633027525,,0.0045871559633027525,,,,,,,,
98,215,0,12,2.15,4.3,,0.018604651162790697,0.10697674418604651,0.13023255813953488,0.15813953488372093,0.18604651162790697,0.14883720930232558,0.11627906976744186,0.06511627906976744,0.04186046511627907,0.018604651162790697,0.004651162790697674,,0.004651162790697674,,,,,,,,
99,215,0,12,2.15,4.3,,0.018604651162790697,0.10232558139534884,0.12558139534883722,0.14418604651162792,0.19534883720930232,0.16279069767441862,0.11162790697674418,0.06976744186046512,0.04186046511627907,0.018604651162790697,0.004651162790697674,,0.004651162790697674,,,,,,,,
100,214,0,12,2.14,4.28,,0.014018691588785047,0.09813084112149532,0.11682242990654206,0.16355140186915887,0.19158878504672897,0.1588785046728972,0.11682242990654206,0.06074766355140187,0.0514018691588785,0.018691588785046728,0.004672897196261682,,0.004672897196261682,,,,,,,,
101,213,0,12,2.13,4.26,,0.009389671361502348,0.09859154929577464,0.107981220657277,0.1784037558685446,0.18779342723004694,0.1643192488262911,0.10328638497652583,0.07042253521126761,0.046948356807511735,0.023474178403755867,0.004694835680751174,,0.004694835680751174,,,,,,,,
102,213,0,12,2.13,4.26,,0.009389671361502348,0.09389671361502347,0.107981220657277,0.17370892018779344,0.18779342723004694,0.1596244131455399,0.11267605633802817,0.07042253521126761,0.051643192488262914,0.023474178403755867,0.004694835680751174,,0.004694835680751174,,,,,,,,
103,212,0,12,2.12,4.24,,0.009433962264150943,0.08962264150943396,0.10377358490566038,0.17452830188679244,0.18396226415094338,0.1650943396226415,0.1179245283018868,0.0660377358490566,0.05188679245283019,0.02830188679245283,0.0047169811320754715,,0.0047169811320754715,,,,,,,,
104,212,0,12,2.12,4.24,,0.009433962264150943,0.08018867924528301,0.09905660377358491,0.1792452830188679,0.18867924528301888,0.16981132075471697,0.10377358490566038,0.07075471698113207,0.05188679245283019,0.03773584905660377,0.0047169811320754715,,0.0047169811320754715,,,,,,,,
105,211,0,12,2.11,4.22,,0.009478672985781991,0.08056872037914692,0.08530805687203792,0.18009478672985782,0.1895734597156398,0.17061611374407584,0.10900473933649289,0.07109004739336493,0.05687203791469194,0.037914691943127965,0.004739336492890996,,0.004739336492890996,,,,,,,,
106,210,0,12,2.1,4.2,,0.009523809523809525,0.08095238095238096,0.08095238095238096,0.18095238095238095,0.19047619047619047,0.15714285714285714,0.12380952380952381,0.07142857142857142,0.05238095238095238,0.04285714285714286,0.004761904761904762,,0.004761904761904762,,,,,,,,
107,209,0,12,2.09,4.18,,0.009569377990430622,0.07177033492822966,0.08133971291866028,0.17703349282296652,0.19138755980861244,0.16267942583732056,0.11483253588516747,0.0861244019138756,0.05263157894736842,0.03827751196172249,0.009569377990430622,,0.004784688995215311,,,,,,,,
108,209,0,12,2.09,4.18,,0.009569377990430622,0.06698564593301436,0.0861244019138756,0.1674641148325359,0.19138755980861244,0.1722488038277512,0.11004784688995216,0.09090909090909091,0.0430622009569378,0.04784688995215311,0.009569377990430622,,0.004784688995215311,,,,,,,,
109,209,0,12,2.09,4.18,,0.009569377990430622,0.06698564593301436,0.06698564593301436,0.18181818181818182,0.18181818181818182,0.17703349282296652,0.11483253588516747,0.09090909090909091,0.04784688995215311,0.04784688995215311,0.009569377990430622,,0.004784688995215311,,,,,,,,
110,208,0,12,2.08,4.16,,0.009615384615384616,0.052884615384615384,0.08173076923076923,0.18269230769230768,0.1778846153846154,0.16826923076923078,0.10576923076923077,0.10576923076923077,0.052884615384615384,0.04326923076923077,0.014423076923076924,,0.004807692307692308,,,,,,,,
111,208,0,12,2.08,4.16,,0.009615384615384616,0.04807692307692308,0.08653846153846154,0.17307692307692307,0.18269230769230768,0.16346153846153846,0.11538461538461539,0.10576923076923077,0.052884615384615384,0.028846153846153848,0.028846153846153848,,0.004807692307692308,,,,,,,,
112,208,0,12,2.08,4.16,,0.009615384615384616,0.04807692307692308,0.08653846153846154,0.16346153846153846,0.19230769230769232,0.16346153846153846,0.11057692307692307,0.11057692307692307,0.04807692307692308,0.028846153846153848,0.03365384615384615,,0.004807692307692308,,,,,,,,
113,208,0,12,2.08,4.16,,0.009615384615384616,0.04807692307692308,0.08653846153846154,0.15865384615384615,0.19230769230769232,0.14423076923076922,0.1201923076923077,0.11538461538461539,0.057692307692307696,0.02403846153846154,0.038461538461538464,,,0.004807692307692308,,,,,,,
114,206,0,12,2.06,4.12,,0.009708737864077669,0.038834951456310676,0.0825242718446602,0.1553398058252427,0.18932038834951456,0.15048543689320387,0.1262135922330097,0.11165048543689321,0.05825242718446602,0.02912621359223301,0.043689320388349516,,,0.0048543689320388345,,,,,,,
115,206,0,12,2.06,4.12,,0.009708737864077669,0.03398058252427184,0.0825242718446602,0.1553398058252427,0.18932038834951456,0.1553398058252427,0.12135922330097088,0.10679611650485436,0.06796116504854369,0.02912621359223301,0.043689320388349516,,,0.0048543689320388345,,,,,,,
116,205,0,13,2.05,4.1,,0.00975609756097561,0.02926829268292683,0.07804878048780488,0.16097560975609757,0.18048780487804877,0.15609756097560976,0.12682926829268293,0.1024390243902439,0.06829268292682927,0.03902439024390244,0.03902439024390244,0.004878048780487805,,0.004878048780487805,,,,,,,
117,205,0,13,2.05,4.1,,0.00975609756097561,0.024390243902439025,0.08292682926829269,0.15121951219512195,0.18536585365853658,0.15121951219512195,0.12682926829268293,0.11219512195121951,0.06829268292682927,0.03902439024390244,0.03902439024390244,0.004878048780487805,,0.004878048780487805,,,,,,,
118,205,0,13,2.05,4.1,,0.00975609756097561,0.024390243902439025,0.08292682926829269,0.14634146341463414,0.17073170731707318,0.16097560975609757,0.12682926829268293,0.12195121951219512,0.06829268292682927,0.03902439024390244,0.03414634146341464,0.00975609756097561,,0.004878048780487805,,,,,,,
